"","conf","seed","lower","upper"
"1",0.95,1,0.00807781674509475,0.389932667255352
"2",0.95,2,0.00965348571024079,0.384222170634806
"3",0.95,3,0.0074648108326607,0.384468611984756
"4",0.95,4,0.00361142358161282,0.387535497989866
"5",0.95,5,0.0102738442083497,0.393135567620155
"6",0.95,6,-0.00690956883270116,0.373271191416358
"7",0.95,7,0.00646848522360582,0.374403647603053
"8",0.95,8,-0.00475383048172287,0.376783648477708
"9",0.95,9,-0.000125598481050494,0.370028495555884
"10",0.95,10,0.00806694958697278,0.374835460298028
